username,instagram_url,skool_url,follower_count,avg_views,bio,link_in_bio,niche,source,filter_reason
roythecloser,https://www.instagram.com/roythecloser/,,56757,41304,"Helping you FIRE your boss, scale, & build wealth through Digital Real Estate, the future of 🏚️ investing  🇺🇸 Get your 6-figure escape plan 👇",https://certifiedclosers.net/free-training,wholesale real estate,instagram_profiles,teaches digital real estate investing system with structured training program
amazonfbalikeaboss,https://www.instagram.com/amazonfbalikeaboss/,,45566,2509,🚀 Trained 2000+ people (Amazon FBA) 💰 Build A Halal Business From Home  📦 Generated 5M in sales   💯 100% Success Rate  👉 DM word ‘FBA’ to learn how ⤵️,https://wa.me/107798898901?countryName=US&countryCode=1&phoneNumber=07798898901,Amazon FBA,"google, instagram_profiles",Practitioner-turned-educator teaching Amazon FBA with 2000+ trained students and $5M sales proof
itssuzycrawford,https://www.instagram.com/itssuzycrawford/,,43305,3958,🚀I help freelancers & agencies hit $20K+ months 💜Creator of Freelancer to CEO & The Al Agency Suite 👇 Apply to work with me 👇,https://go.suzycrawford.com/grow-1,SMMA/agency building,instagram_profiles,"Teaches freelancers and agencies to scale to $20K+ months; creator of coaching programs (Freelancer to CEO, AI Agency Suite)"
laratechsales,https://www.instagram.com/laratechsales/,,36899,2569,Corporate lawyer | #1 female tech sales coach Helped 500+ land £65k-£85k/yr remote tech sales jobs with 0 experience  Book a free call👇,https://linktr.ee/laratechsales,tech sales coaching,"google, instagram_profiles",corporate lawyer turned #1 female tech sales coach helping 500+ land tech sales roles
cajunventvres,https://www.instagram.com/cajunventvres/,,22555,2318,"💻 I help you start & grow your Amazon business  👩 Waitress 👉 5M Amazon Seller 💰 Amazon FBA - Reselling, Private Label, & Wholesale  ⤵️ Free Training",http://www.cajunventuresmo.com,Amazon FBA,instagram_profiles,"Former waitress turned $5M Amazon seller teaching FBA, reselling, private label, and wholesale"
transformrealestate,https://www.instagram.com/transformrealestate/,,20288,2568,Mentoring aspiring investors to start and scale on house flipping Founder of @transformflipperacademy  Learn from me👇,https://lnk.bio/transformrealestate,wholesale real estate,instagram_profiles,Mentors aspiring investors on house flipping; founder of Transform Flipper Academy
erikfisherofficial,https://www.instagram.com/erikfisherofficial/,,18459,1818,Follow @therealerikfisher  Tech sales reps earn $300k+ FREE training! 👇,http://bit.ly/4iHJC3H,tech sales coaching,instagram_profiles,offers FREE training program teaching tech sales reps to earn $300k+
chrisflipsland,https://www.instagram.com/chrisflipsland/,,17083,1681,💵 | I help beginners make 🍞 flipping dirt 💻 | $850K+ made flipping land ⛰️ | DM me ”LAND” to get started,http://chrisflipsland.com/open,land flipping,"google, instagram_profiles","teaches land flipping methodology with proven results ($850K+), offers coaching/program signup"
nigelscanvas,https://www.instagram.com/nigelscanvas/,,15814,1624,📈 nasdaq & tech sales coach @resumeplug 🇨🇴 ctg,https://stan.store/nigelscanvas,tech sales coaching,instagram_profiles,nasdaq & tech sales coach with paid community/coaching
zoeyberghoff,https://www.instagram.com/zoeyberghoff/,,14423,1614,🏕️ Helping you build lifestyle aligned real estate and unique STR stays for wealth & freedom 🎙️ Off Grid Pod & RNR Founder 👇🏼 Apply to RNR Mentorship,https://www.jotform.com/form/243606935215053,Section 8 rental investing,instagram_profiles,Educator teaching real estate investing and unique STR properties with paid mentorship program
oneupfba,https://www.instagram.com/oneupfba/,,12568,5214,📈Helping Sellers Scale With Wholesale  💰7 Figure Seller & 400+ Students Helped,,Amazon FBA,instagram_profiles,7-figure Amazon seller teaching wholesale and FBA to 400+ students
renzetheguru,https://www.instagram.com/renzetheguru/,,9809,5920,Break into tech sales → earn 6-figs 🌍 100+ success stories │ $20M+ SaaS closed Owner: @safegroundhomes | ATX 📍| 🇯🇲  👇 Begin your journey,https://renzetheguru.youcanbook.me,tech sales coaching,instagram_profiles,teaches break into tech sales with 100+ success stories and $20M+ SaaS closed
milantechsales,https://www.instagram.com/milantechsales/,,9773,3464,I help people get £65k-£85k+/yr tech sales jobs Ex Google  Already helped 500+ people land £65k-£85k tech sales jobs Book your free career call,https://linktr.ee/MilanTechSales,tech sales coaching,instagram_profiles,ex-Google employee coaching people into £65k-£85k tech sales jobs
